session_id,state_sequence,simulation_time_s,visual_component_name,root_bone_name,actor_x_world_cm,actor_y_world_cm,actor_z_world_cm,visual_component_x_world_cm,visual_component_y_world_cm,visual_component_z_world_cm,animation_root_x_world_cm,animation_root_y_world_cm,animation_root_z_world_cm,actor_to_root_x_world_cm,actor_to_root_y_world_cm,actor_to_root_z_world_cm
7C88DBC1E840,37,2.041000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,38,2.092000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,39,2.148000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,40,2.196000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,41,2.246000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,42,2.300000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,43,2.347000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,44,2.397000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,45,2.455000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,46,2.510000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,47,2.561000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,48,2.617000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,49,2.659000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,50,2.712000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,51,2.764000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,52,2.815000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,53,2.867000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,54,2.922000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,55,2.976000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,56,3.024000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,57,3.081000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,58,3.127000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,59,3.181000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,60,3.230000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,61,3.289000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,62,3.340000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,63,3.391000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,64,3.441000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,65,3.498000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,66,3.545000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,67,3.598000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,68,3.649000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,69,3.704000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,70,3.762000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,71,3.810000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,72,3.856000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,73,3.911000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,74,3.959000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,75,4.012000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,76,4.064000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,77,4.118000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,78,4.173000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
