start_transition_sequence,end_transition_sequence,requested_horizon_s,actual_horizon_s,step_count,action_change_count,collision_step_count,external_perturbation_step_count,perturbation_relation,planar_position_error_cm,planar_velocity_error_cm_s,yaw_error_deg,angular_velocity_yaw_error_deg_s
29,72,1.0,1.015,44,0,0,1,event_crossing,24.417800788184927,0.35690417248096645,0.0,0.0
29,92,1.5,1.502,64,0,0,1,event_crossing,24.433264511564502,0.0,0.0,0.0
30,51,0.5,0.5139999999999998,22,0,0,0,pre_event,3.976374728154042e-06,0.0,0.0,0.0
30,73,1.0,1.0150000000000001,44,0,0,1,event_crossing,24.422942861174008,0.24486618300418006,0.0,0.0
30,93,1.5,1.5030000000000001,64,0,0,1,event_crossing,24.433264511631158,0.0,0.0,0.0
31,52,0.5,0.5150000000000001,22,0,0,0,pre_event,4.00096155317442e-06,0.0,0.0,0.0
31,74,1.0,1.0179999999999998,44,0,0,1,event_crossing,24.426662827955823,0.16174144007636176,0.0,0.0
31,94,1.5,1.5030000000000001,64,0,0,1,event_crossing,24.433264511631158,0.0,0.0,0.0
32,53,0.5,0.5159999999999998,22,0,0,1,event_crossing,5.370032758164773,233.47966573995885,0.0,0.0
32,75,1.0,1.019,44,0,0,1,event_crossing,24.42911519411396,0.10662714725830935,0.0,0.0
32,95,1.5,1.502,64,0,0,1,event_crossing,24.433264511564502,0.0,0.0,0.0
33,54,0.5,0.5130000000000001,22,0,0,1,event_crossing,8.928016511631942,209.29316024234188,0.0,0.0
33,76,1.0,1.022,44,0,0,1,event_crossing,24.430729016246886,0.07016787209665117,0.0,0.0
33,96,1.5,1.5039999999999998,64,0,0,1,event_crossing,24.433264511697814,0.0,0.0,0.0
34,55,0.5,0.52,22,0,0,1,event_crossing,13.39278692416543,165.36195776422716,0.0,0.0
34,76,1.0,1.0020000000000002,43,0,0,1,event_crossing,24.430729015671407,0.07016787209665117,0.0,0.0
34,97,1.5,1.5070000000000001,64,0,0,1,event_crossing,24.433264511897782,0.0,0.0,0.0
35,56,0.5,0.5189999999999999,22,0,0,1,event_crossing,16.08016612538378,134.36916790762098,0.0,0.0
35,77,1.0,1.003,43,0,0,1,event_crossing,24.431761926292364,0.046951638008180904,0.0,0.0
35,98,1.5,1.5159999999999998,64,0,0,1,event_crossing,24.43326451174023,0.0,0.0,0.0
36,57,0.5,0.516,22,0,0,1,event_crossing,18.13318628891571,108.05405287625987,0.0,0.0
36,78,1.0,1.004,43,0,0,1,event_crossing,24.432470348115988,0.0308017184351578,0.0,0.0
36,99,1.5,1.524,64,0,0,1,event_crossing,24.433264511516025,0.0,0.0,0.0
37,58,0.5,0.5139999999999998,22,0,0,1,event_crossing,19.93532301197749,81.91577377450544,0.0,0.0
37,79,1.0,1.004,43,0,0,1,event_crossing,24.432945764410718,0.019809518545299352,0.0,0.0
37,99,1.5,1.5,63,0,0,1,event_crossing,24.43326451143119,0.0,0.0,0.0
38,59,0.5,0.516,22,0,0,1,event_crossing,21.311817557218017,59.848055065428014,0.0,0.0
38,80,1.0,1.009,43,0,0,1,event_crossing,24.43326450142699,0.012259450484629838,0.0,0.0
38,100,1.5,1.504,63,0,0,1,event_crossing,24.433264510940358,0.0,0.0,0.0
39,60,0.5,0.504,22,0,0,1,event_crossing,22.270107157321533,43.55902998178298,0.0,0.0
39,81,1.0,1.0020000000000002,43,0,0,1,event_crossing,24.433264500960426,0.0,0.0,0.0
39,102,1.5,1.5150000000000001,64,0,0,1,event_crossing,24.433264510916118,0.0,0.0,0.0
40,61,0.5,0.5110000000000001,22,0,0,1,event_crossing,23.165428686581386,25.58092447012033,0.0,0.0
40,83,1.0,1.0210000000000004,44,0,0,1,event_crossing,24.433264501469406,0.0,0.0,0.0
40,103,1.5,1.5090000000000003,64,0,0,1,event_crossing,24.433264511273638,0.0,0.0,0.0
41,62,0.5,0.512,22,0,0,1,event_crossing,23.625174693840854,16.41972342756469,0.0,0.0
41,84,1.0,1.0190000000000001,44,0,0,1,event_crossing,24.4332645013361,0.0,0.0,0.0
41,104,1.5,1.501,64,0,0,1,event_crossing,24.433264511497846,0.0,0.0,0.0
42,63,0.5,0.5140000000000002,22,0,0,1,event_crossing,23.885178296739014,11.304670769170965,0.0,0.0
42,85,1.0,1.0300000000000002,44,0,0,1,event_crossing,24.433264501311864,0.0,0.0,0.0
42,105,1.5,1.5,64,0,0,1,event_crossing,24.43326451143119,0.0,0.0,0.0
43,64,0.5,0.5129999999999999,22,0,0,1,event_crossing,24.058085649109874,7.859549215371825,0.0,0.0
43,85,1.0,1.0070000000000001,43,0,0,1,event_crossing,24.433264500536275,0.0,0.0,0.0
43,107,1.5,1.521,65,0,0,1,event_crossing,24.433264512073514,0.0,0.0,0.0
44,65,0.5,0.5100000000000002,22,0,0,1,event_crossing,24.180988784572634,5.343704571569804,0.0,0.0
44,86,1.0,1.0120000000000005,43,0,0,1,event_crossing,24.433264500869534,2.842170943040401e-14,0.0,0.0
44,108,1.5,1.5210000000000004,65,0,0,1,event_crossing,24.433264512073514,0.0,0.0,0.0
45,66,0.5,0.512,22,0,0,1,event_crossing,24.266266362772207,3.5532961934306764,0.0,0.0
45,87,1.0,1.024,43,0,0,1,event_crossing,24.43326450091195,0.0,0.0,0.0
45,109,1.5,1.5259999999999998,65,0,0,1,event_crossing,24.433264511649337,0.0,0.0,0.0
46,67,0.5,0.5070000000000001,22,0,0,1,event_crossing,24.316662806602903,2.5198691787028373,0.0,0.0
46,88,1.0,1.024,43,0,0,1,event_crossing,24.43326450091195,0.0,0.0,0.0
46,109,1.5,1.501,64,0,0,1,event_crossing,24.433264511497846,0.0,0.0,0.0
47,68,0.5,0.5019999999999998,22,0,0,1,event_crossing,24.35343126387078,1.750912910410302,0.0,0.0
47,89,1.0,1.017,43,0,0,1,event_crossing,24.433264501202796,0.0,0.0,0.0
47,110,1.5,1.5099999999999998,64,0,0,1,event_crossing,24.433264511340294,0.0,0.0,0.0
48,69,0.5,0.5009999999999999,22,0,0,1,event_crossing,24.3789044573829,1.2130336566780153,0.0,0.0
48,90,1.0,1.0150000000000001,43,0,0,1,event_crossing,24.43326450106949,0.0,0.0,0.0
48,111,1.5,1.5230000000000001,64,0,0,1,event_crossing,24.433264510691913,0.0,0.0,0.0
49,70,0.5,0.5020000000000002,22,0,0,1,event_crossing,24.398850157278357,0.767158435495811,0.0,0.0
49,91,1.0,1.0140000000000002,43,0,0,1,event_crossing,24.43326450100284,0.0,0.0,0.0
49,112,1.5,1.524,64,0,0,1,event_crossing,24.43326451075857,0.0,0.0,0.0
50,72,0.5,0.5209999999999999,23,0,0,1,event_crossing,24.417800777997705,0.35690417248096645,0.0,0.0
50,92,1.0,1.008,43,0,0,1,event_crossing,24.43326450136034,0.0,0.0,0.0
50,112,1.5,1.5,63,0,0,1,event_crossing,24.433264510673734,0.0,0.0,0.0
51,72,0.5,0.5009999999999999,22,0,0,1,event_crossing,24.41780077742303,0.35690417248096645,0.0,0.0
51,93,1.0,1.0100000000000002,43,0,0,1,event_crossing,24.433264501493646,0.0,0.0,0.0
51,114,1.5,1.5150000000000001,64,0,0,1,event_crossing,24.43326451091612,0.0,0.0,0.0
52,73,0.5,0.5010000000000003,22,0,0,1,event_crossing,24.422942850406454,0.24486618300418006,0.0,0.0
52,94,1.0,1.0090000000000003,43,0,0,1,event_crossing,24.43326450142699,0.0,0.0,0.0
52,115,1.5,1.5130000000000003,64,0,0,1,event_crossing,24.433264510782806,0.0,0.0,0.0
53,74,0.5,0.5029999999999997,22,0,0,1,event_crossing,24.426662817117517,0.16174144007636176,0.0,0.0
53,95,1.0,1.009,43,0,0,1,event_crossing,24.43326450142699,0.0,0.0,0.0
53,116,1.5,1.5099999999999998,64,0,0,1,event_crossing,24.43326451058284,0.0,0.0,0.0
54,75,0.5,0.5030000000000001,22,0,0,0,post_event,4.997236502409695e-06,4.5505768613738484e-08,0.0,0.0
54,96,1.0,1.008,43,0,0,0,post_event,8.561816326323228e-06,0.0,0.0,0.0
54,117,1.5,1.5140000000000002,64,0,0,0,post_event,1.1714255959673405e-05,0.0,0.0,0.0
55,76,0.5,0.5089999999999999,22,0,0,0,post_event,4.840090928289988e-06,2.626238712262673e-08,0.0,0.0
55,97,1.0,1.0139999999999998,43,0,0,0,post_event,8.530918973890736e-06,0.0,0.0,0.0
55,118,1.5,1.537,64,0,0,0,post_event,1.1867032271418853e-05,0.0,0.0,0.0
56,77,0.5,0.504,22,0,0,0,post_event,4.862309801564716e-06,1.6785323092782277e-08,0.0,0.0
56,98,1.0,1.017,43,0,0,0,post_event,8.52804672489465e-06,0.0,0.0,0.0
56,118,1.5,1.5100000000000002,63,0,0,0,post_event,1.1706294662096497e-05,0.0,0.0,0.0
57,78,0.5,0.5070000000000001,22,0,0,0,post_event,4.9311111937999484e-06,1.1149305087989897e-08,0.0,0.0
57,99,1.0,1.0270000000000001,43,0,0,0,post_event,8.491818890228673e-06,0.0,0.0,0.0
57,119,1.5,1.5309999999999997,63,0,0,0,post_event,1.166187296040041e-05,0.0,0.0,0.0
58,79,0.5,0.512,22,0,0,0,post_event,4.765764195480677e-06,6.509930496277552e-09,0.0,0.0
58,99,1.0,1.008,42,0,0,0,post_event,8.2990803470592e-06,0.0,0.0,0.0
58,119,1.5,1.5119999999999996,62,0,0,0,post_event,1.147060797284466e-05,0.0,0.0,0.0
59,80,0.5,0.516,22,0,0,0,post_event,4.584147819175263e-06,2.6919952582480573e-09,0.0,0.0
59,100,1.0,1.0110000000000001,42,0,0,0,post_event,8.093319038745767e-06,0.0,0.0,0.0
59,120,1.5,1.5260000000000002,62,0,0,0,post_event,1.1535466932922419e-05,0.0,0.0,0.0
60,81,0.5,0.52,22,0,0,0,post_event,4.4031624812704875e-06,0.0,0.0,0.0
60,101,1.0,1.009,42,0,0,0,post_event,8.044121522614272e-06,0.0,0.0,0.0
60,120,1.5,1.5030000000000001,61,0,0,0,post_event,1.1249313147379924e-05,0.0,0.0,0.0
61,82,0.5,0.5230000000000001,22,0,0,0,post_event,4.197522126750999e-06,0.0,0.0,0.0
61,102,1.0,1.0110000000000001,42,0,0,0,post_event,7.814017034588434e-06,0.0,0.0,0.0
61,121,1.5,1.517,61,0,0,0,post_event,1.1314293821673521e-05,0.0,0.0,0.0
62,83,0.5,0.5100000000000002,22,0,0,0,post_event,4.436696260054676e-06,0.0,0.0,0.0
62,104,1.0,1.017,43,0,0,0,post_event,8.240851544923023e-06,0.0,0.0,0.0
