episode_id,model,start_transition_sequence,end_transition_sequence,requested_horizon_s,actual_horizon_s,step_count,action_change_count,parameter_change_count,planar_position_error_cm,planar_velocity_error_cm_s,yaw_error_deg,angular_velocity_yaw_error_deg_s
5201,nominal,9,54,1.5,1.504,46,4,10,10.02042086169025,12.123416107947232,8.616677174017447,27.755843257500686
5201,nominal,10,23,0.5,0.5269999999999999,14,2,2,14.825364236789369,54.59649713369362,17.39061086628158,362.30439254452074
5201,nominal,10,38,1.0,1.0130000000000001,29,3,7,23.727680727267284,2.587662697096704,28.43840183434664,70.12209571398765
5201,nominal,10,55,1.5,1.503,46,4,10,9.667751930945586,9.549996400082376,7.676128632317057,25.42023178848325
5201,nominal,11,24,0.5,0.5389999999999999,14,2,2,16.693346430203064,45.56053640950251,32.74496790039149,374.4965006663742
5201,nominal,11,39,1.0,1.014,29,3,7,23.422289456268118,10.179718743676773,26.587464976324714,61.69789805975647
5201,nominal,11,57,1.5,1.522,47,4,10,9.309957105829307,6.820377430907348,6.5637620017453,22.439928347139784
5201,nominal,12,24,0.5,0.5049999999999999,13,2,2,16.69334669981413,45.560536409574816,32.74496790039149,374.4965006663742
5201,nominal,12,40,1.0,1.0070000000000001,29,3,7,22.87417436422652,20.3005709130787,25.032723468293394,57.583020214007604
5201,nominal,12,58,1.5,1.52,47,4,10,9.139491812502005,5.330060251703554,5.906724599240177,20.532424824332793
5201,nominal,13,26,0.5,0.518,14,2,4,18.74274684208524,37.722283834617,46.156324817600506,213.26570488480894
5201,nominal,13,42,1.0,1.0240000000000002,30,3,7,20.790763569761452,42.15696882409196,21.993898363311605,53.427977521877686
5201,nominal,13,59,1.5,1.503,47,4,10,9.0411946814713,4.469971112501927,5.482678294561697,19.274842146843156
5201,nominal,14,29,0.5,0.5189999999999999,16,1,6,21.862579303822713,29.19968222808734,51.78941776145181,0.8713432394023926
5201,nominal,14,45,1.0,1.0040000000000002,32,2,7,17.061266052701285,49.52533310016739,18.135608749829153,49.36689639779635
5201,nominal,14,63,1.5,1.51,50,3,10,8.767898050222781,1.837523548946983,3.84333458570588,14.062058071859326
5201,nominal,15,29,0.5,0.5029999999999999,15,1,5,2.041751827164262e-06,6.025672405485238e-06,8.461000512702787,54.64611039482645
5201,nominal,15,46,1.0,1.011,32,2,6,1.8166954305343097e-06,3.6698403196311347e-06,2.7789794172690687,19.37133669206178
5201,nominal,15,64,1.5,1.579,50,3,9,2.8882012167645064e-06,9.722707038005188e-08,19.645993500651095,52.86804058253871
5201,nominal,16,30,0.5,0.5490000000000002,15,1,5,2.2418626031139866e-06,3.0613435910709086e-06,10.118761226253381,26.313663970041915
5201,nominal,16,47,1.0,1.0170000000000001,32,2,6,1.6800727280497085e-06,2.738552257852689e-06,2.389623411768033,16.928519748075633
5201,nominal,16,64,1.5,1.562,49,3,9,2.8397988630277934e-06,9.722707038007491e-08,19.645993500651095,52.86804058253871
5201,nominal,17,30,0.5,0.532,14,1,5,2.117092094522377e-06,3.060287525613603e-06,10.118761226253381,26.313663970041915
5201,nominal,17,47,1.0,1.0,31,2,6,1.5552579952782253e-06,2.7385524239420533e-06,2.389623411768033,16.928519748075633
5201,nominal,17,64,1.5,1.545,48,3,9,2.7734563210251154e-06,9.722707038008768e-08,19.645993500651095,52.86804058253871
5201,nominal,18,30,0.5,0.506,13,1,5,2.4617065719212405e-06,3.0609108847556854e-06,10.118761226253381,26.313663970041915
5201,nominal,18,48,1.0,0.9999999999999998,31,2,6,1.8629407350090332e-06,1.5143850760068744e-06,2.0139301245201864,14.449741505844655
5201,nominal,18,64,1.5,1.519,47,3,9,2.965820105194025e-06,9.722707038008022e-08,19.645993500651095,52.86804058253871
5201,nominal,19,31,0.5,0.5050000000000001,13,1,5,2.2786787212680792e-06,2.5241278507337483e-06,10.66619845970132,19.551334287280184
5201,nominal,19,50,1.0,1.022,32,3,8,1.4799456138715854e-06,1.709245819826266e-06,9.114429677317744,168.617535759217
5201,nominal,19,65,1.5,1.5090000000000001,47,4,10,2.850231975058535e-06,7.076818087730908e-07,18.386856270189227,66.27039109231379
5201,nominal,20,34,0.5,0.5050000000000001,15,1,5,2.12800614463049e-06,1.0373741758940014e-06,11.139794486088924,0.05734224047901648
5201,nominal,20,52,1.0,1.003,33,3,9,1.101233482576131e-06,3.9742711614442325e-06,19.11513973994113,169.76786791057282
5201,nominal,20,67,1.5,1.5010000000000001,48,4,10,2.61606739865471e-06,6.780849099294551e-06,13.365399035455992,73.8975904132758
5201,nominal,21,35,0.5,0.5039999999999998,15,1,5,2.0421772433110164e-06,5.703809051738062e-07,10.887524644773155,7.20771024648937
5201,nominal,21,53,1.0,1.019,33,3,9,1.119702715670417e-06,5.636447768200686e-06,25.027568950900047,113.7005639707485
5201,nominal,21,69,1.5,1.5250000000000001,49,4,12,2.1944425719125747e-06,6.181829249502314e-06,5.601904627642498,138.97461134693185
5201,nominal,22,37,0.5,0.5270000000000001,16,1,5,2.301727136000409e-06,1.7717508171699592e-07,10.05734624804095,15.038483584140678
5201,nominal,22,54,1.0,1.012,33,3,9,1.30955195854322e-06,8.079480784411625e-06,27.538831645184576,78.47696604574571
5201,nominal,22,70,1.5,1.5190000000000001,49,4,13,2.1088302059051066e-06,2.310908523863531e-06,1.1817180786214057,133.94504213631484
5201,nominal,23,37,0.5,0.5020000000000002,15,0,5,2.2875123022458865e-06,1.771293511865224e-07,10.05734624804095,15.038483584140678
5201,nominal,23,55,1.0,1.024,33,2,9,1.4965550774893375e-06,6.058982098898872e-06,29.067947762656427,41.32746356609039
5201,nominal,23,71,1.5,1.537,49,3,14,1.8455298555748695e-06,5.874041612236774e-06,3.4347900682325405,107.36066250725668
5201,nominal,24,39,0.5,0.516,16,1,5,0.4103453832702826,10.443972277333671,7.980069821750453,36.08154608500646
5201,nominal,24,57,1.0,1.024,34,2,8,14.537927203999788,6.820401027268872,29.6663604760957,3.7264610132966425
5201,nominal,24,72,1.5,1.52,49,3,13,15.227904390339647,0.13829273905108663,6.106271206255806,86.17636244932555
5201,nominal,25,40,0.5,0.5020000000000002,16,1,5,0.9629070626567682,20.4652355305862,6.9930535871260515,36.556150196549865
5201,nominal,25,58,1.0,1.0150000000000001,34,2,8,14.70848940858078,5.330073137472143,29.17677058698329,15.299677890333413
5201,nominal,25,73,1.5,1.5010000000000003,49,3,13,15.230311218213863,0.10941257238152845,7.673256645735988,71.22662789336854
5201,nominal,26,41,0.5,0.5050000000000003,16,1,4,1.8687335147583326,32.35094266171526,4.126486188614318,26.602924757290424
5201,nominal,26,59,1.0,1.012,34,2,7,14.80682650402129,4.469979609676789,23.665777623572932,10.99632581638187
5201,nominal,26,75,1.5,1.524,50,3,12,15.233678297670345,0.05889211528697131,0.7611903917822286,64.7322456431489
5201,nominal,27,42,0.5,0.5060000000000002,16,1,3,3.0508353195837117,42.217913468341735,0.18159700798941927,14.4878103986929
5201,nominal,27,60,1.0,1.0150000000000001,34,2,6,14.911228851428012,3.4803126081510736,12.838296739278482,0.7302938655307685
5201,nominal,27,76,1.5,1.5270000000000001,50,3,11,15.234822608412124,0.03814538758926839,15.624353198681904,79.31724882889233
5201,nominal,28,43,0.5,0.5020000000000002,16,1,2,4.192408893505217,47.565555346554966,1.924114254860534,9.546409573550847
5201,nominal,28,61,1.0,1.012,34,2,5,14.981425178303835,2.808132732381439,3.895496257030027,3.5638897175588937
5201,nominal,28,77,1.5,1.5300000000000002,50,3,10,15.23555911006287,0.023756594842115314,27.63189123094853,79.87600009420561
5201,nominal,29,44,0.5,0.5010000000000003,16,1,1,5.593346265428295,50.0334664786319,2.616321237153706,6.620505057097667
5201,nominal,29,62,1.0,1.0060000000000002,34,2,4,15.034236037149297,2.296402137758834,1.3869749240106588,4.328811140423554
5201,nominal,29,77,1.5,1.5010000000000003,49,3,9,15.235559438229178,0.02375659484211529,35.85629303280496,75.13462609525001
5201,nominal,30,46,0.5,0.508,17,1,1,7.870707879999486,47.32095319729888,2.7721864615603633,2.305403517078794
5201,nominal,30,64,1.0,1.076,35,2,4,15.14904030667895,0.8103962747220742,1.0013838198041638,3.328585169020485
5201,nominal,30,79,1.5,1.5050000000000003,50,3,9,15.236186504383776,0.011764760925975497,32.41968476779958,78.63001363898597
5201,nominal,31,49,0.5,0.5179999999999998,19,2,2,10.683009711088012,33.44339795097927,2.8052647091231178,1.907643488186281
