transition_sequence,end_simulation_time_s,dt_s,collision_this_step,perturbation_phase,position_error_cm,planar_position_error_cm,velocity_error_cm_s,planar_velocity_error_cm_s,yaw_error_deg,angular_velocity_yaw_error_deg_s,spring_velocity_error_cm_s,spring_acceleration_error_cm_s2,intermediate_velocity_error_cm_s
52,2.703,0.02499999999999991,False,no_event,5.594563390332041e-08,5.594563390332041e-08,1.048284246962794e-06,1.048284246962794e-06,4.0560145708663265e-07,1.8496820644031686e-05,1.0482843322279223e-06,4.149137055264873e-06,1.8626455755565985e-07
53,2.729,0.026000000000000245,False,no_event,3.059983555431245e-08,3.059983555431245e-08,3.083162766870373e-06,3.083162766870373e-06,5.581842423754781e-07,2.505007302033846e-05,3.0831631931960146e-06,4.3283236550450965e-05,2.682207878024201e-07
54,2.758,0.028999999999999915,False,no_event,2.0019001567561645e-07,2.0019001567561645e-07,3.1203362738096985e-06,3.1203362738096985e-06,6.078961593801281e-07,2.7461647931659172e-05,3.12033495220021e-06,2.218141571574961e-05,5.14090118031163e-07
55,2.7840000000000003,0.026000000000000245,False,no_event,3.833292794297449e-09,3.833292794297449e-09,2.2938375821013324e-06,2.2938375821013324e-06,4.255073020604777e-07,1.892980441198233e-05,2.293837411571076e-06,3.344839194596716e-05,0.0
56,2.811,0.02699999999999969,False,no_event,1.2875784705101978e-07,1.2875784705101978e-07,1.449881835924316e-06,1.449881835924316e-06,4.310521793143914e-08,1.7486668184574228e-06,1.4498815943397858e-06,1.773358195578112e-05,0.0
57,2.837,0.026000000000000245,False,no_event,4.404432729643304e-08,4.404432729643304e-08,1.0879713556732895e-06,1.0879713556732895e-06,3.266862213299711e-07,1.4529084324976793e-05,1.0879707588173915e-06,1.7452914789828355e-05,0.0
58,2.865,0.028000000000000025,False,no_event,1.3669773579749744e-07,1.3669773579749744e-07,5.584343796272151e-07,5.584343796272151e-07,4.660683052466831e-08,4.825434359645442e-06,5.584350901699509e-07,7.746754079107632e-06,0.0
59,2.891,0.0259999999999998,False,no_event,6.468155788752483e-08,6.468155788752483e-08,4.709466736585455e-07,4.709466736585455e-07,2.5082327484557895e-07,1.1152950051496191e-05,4.70948293695983e-07,7.95634203143436e-06,0.0
60,2.92,0.028999999999999915,False,no_event,1.5901980532362359e-07,1.5901980532362359e-07,3.1171538239505026e-07,3.1171538239505026e-07,2.727221062717039e-07,1.2325016271574896e-05,3.1171492764769937e-07,4.798254451543471e-06,0.0
61,2.948,0.028000000000000025,False,no_event,1.315459030593047e-07,1.315459030593047e-07,1.483107325839228e-07,1.483107325839228e-07,3.070983300465226e-08,3.215951977608711e-06,1.4830871464255324e-07,2.315474375791382e-06,0.0
62,2.977,0.028999999999999915,False,no_event,1.5610009995725704e-07,1.5610009995725704e-07,1.2113551406400802e-07,1.2113551406400802e-07,2.0795430851587892e-07,9.400408728765797e-06,1.2113574143768346e-07,1.9634438395144116e-06,0.0
63,3.004,0.027000000000000135,False,no_event,1.0617623047437519e-07,1.0617623047437519e-07,6.766779847566795e-08,6.766779847566795e-08,1.6598780549371608e-08,6.532699217132176e-07,6.766609317310213e-08,1.1159581525532758e-06,0.0
64,3.031,0.027000000000000135,False,no_event,1.0575843134574825e-07,1.0575843134574825e-07,4.2459845417397446e-08,4.2459845417397446e-08,1.6164647557570564e-08,5.725182603555368e-07,4.246024332132947e-08,7.10874184406407e-07,0.0
65,3.057,0.0259999999999998,False,no_event,7.95159849076299e-08,7.95159849076299e-08,2.8303418275754666e-08,2.8303418275754666e-08,1.1487122831954448e-07,5.10604706249751e-06,2.830446987900359e-08,5.132023384035733e-07,0.0
