start_transition_sequence,end_transition_sequence,requested_horizon_s,actual_horizon_s,step_count,action_change_count,collision_step_count,planar_position_error_cm,planar_velocity_error_cm_s,yaw_error_deg,angular_velocity_yaw_error_deg_s
15,72,1.5,1.522,58,2,0,1.9851752313115867e-06,2.511893626433448e-08,15.906379250591511,70.46944964930043
16,35,0.5,0.5249999999999999,20,1,0,1.319870762017672e-06,5.5001987959713006e-06,0.0,0.0
16,54,1.0,1.0150000000000001,39,2,0,7.866856321925297e-08,6.519665589621582e-06,134.30448633420406,688.7578141888459
16,73,1.5,1.521,58,2,0,2.050753778348735e-06,1.7168275689982693e-08,14.327114727194706,63.17058073776494
17,35,0.5,0.5,19,1,0,1.242842245119391e-06,5.50024849133024e-06,0.0,0.0
17,55,1.0,1.016,39,2,0,1.0437986475153593e-07,2.3273988887240193e-06,118.63538199586264,602.6578554690058
17,74,1.5,1.521,58,2,0,2.183946662626113e-06,1.165199137176387e-08,12.910481768838286,56.66531813137102
18,36,0.5,0.502,19,1,0,9.912732821248937e-07,9.54762167282297e-06,0.0,0.0
18,56,1.0,1.0200000000000002,39,2,0,3.85379735234892e-07,3.61640580592848e-06,103.11460737285329,517.3591458226142
18,75,1.5,1.5210000000000001,58,2,0,2.3182234372143284e-06,6.379792694133357e-09,11.593747625065886,50.64362058774863
19,37,0.5,0.5029999999999999,19,1,0,5.978565695841098e-07,1.1085530033483337e-05,0.0,0.0
19,57,1.0,1.0239999999999998,39,2,0,7.314732783925137e-07,1.8704785276213443e-06,89.38995477850463,442.73072087898834
19,76,1.5,1.519,58,2,0,2.5072896505662357e-06,0.0,10.456552852242568,45.48779075006262
20,38,0.5,0.5029999999999999,19,1,0,4.030260924992035e-07,5.493834159153721e-06,0.0,0.0
20,58,1.0,1.026,39,2,0,9.984202051782631e-07,3.026174596243436e-06,78.60149258322711,385.30221680405003
20,77,1.5,1.518,58,3,0,2.6221258622172172e-06,5.72283227029402e-07,9.283359868233116,46.927719210555054
21,39,0.5,0.504,19,1,0,2.9916475341451587e-07,2.1171480355519634e-06,0.0,0.0
21,58,1.0,1.001,38,2,0,1.0625250297380262e-06,3.026174596243436e-06,78.60149258322711,385.30221680405003
21,78,1.5,1.5190000000000001,58,3,0,2.8245807470739237e-06,2.417885070826742e-06,8.103296870875575,45.387038082484466
22,40,0.5,0.5029999999999999,19,1,0,1.820843635869096e-07,2.7998744300816725e-07,0.0,0.0
22,59,1.0,1.0000000000000002,38,2,0,1.2816643675250816e-06,1.068551569005649e-06,69.78447245803419,339.1161565991572
22,79,1.5,1.5160000000000002,58,3,0,2.9965082148919464e-06,1.0261665863708913e-06,7.084959913837742,42.43070653763561
23,41,0.5,0.5020000000000002,19,1,0,8.56489350553602e-08,6.619209873548471e-07,0.0,0.0
23,61,1.0,1.0270000000000001,39,2,0,1.6059440213211928e-06,1.282646991285219e-06,54.93287282021035,262.32118883092494
23,80,1.5,1.517,58,3,0,3.051658268304891e-06,4.048000462830714e-06,6.052224584964839,38.249456287643724
24,42,0.5,0.5010000000000001,19,1,0,1.034698016155744e-08,6.263661909144957e-07,0.0,0.0
24,61,1.0,1.002,38,2,0,1.6680764929333236e-06,1.282646991285219e-06,54.93287282021035,262.32118883092494
