start_transition_sequence,end_transition_sequence,requested_horizon_s,actual_horizon_s,step_count,action_change_count,collision_step_count,planar_position_error_cm,planar_velocity_error_cm_s,yaw_error_deg,angular_velocity_yaw_error_deg_s
33,69,1.0,1.0150000000000001,37,1,0,5.4099165254228865e-06,2.8929548534506466e-08,0.007952005308796674,0.029329949376950992
33,87,1.5,1.5070000000000001,55,2,0,3.951127723667014e-06,1.4982964686716116e-06,0.0005244452554278649,0.0038658486585396723
34,51,0.5,0.5019999999999998,18,1,0,2.700758614082588e-06,8.083701260375165e-06,0.03549084277506067,0.0791327979860057
34,70,1.0,1.0110000000000001,37,1,0,5.360391014619381e-06,1.567374852129433e-08,0.007251693800137036,0.026934674673892545
34,88,1.5,1.505,55,3,0,3.793382870482413e-06,1.2317027171290501e-06,0.0004345677963733273,0.0032085397073728927
35,53,0.5,0.5249999999999999,19,1,0,2.7429250621935353e-06,3.5061771086475346e-06,0.03137751648846585,0.08066180692600255
35,71,1.0,1.0099999999999998,37,1,0,5.1415960342637845e-06,1.1441926517363754e-08,0.006586778392399819,0.024626004303005544
35,89,1.5,1.505,55,3,0,3.4515319816050087e-06,2.011819648458049e-06,0.0003599591769431052,0.0026623031807559983
36,54,0.5,0.5259999999999998,19,1,0,2.7152734674018575e-06,6.62730938927325e-06,0.02907800073711645,0.07928714688637228
36,72,1.0,1.009,37,1,0,4.917253477287886e-06,8.115307537082117e-09,0.005979544893827021,0.02248966923065865
36,90,1.5,1.505,55,3,0,3.1140107789808515e-06,3.3525192233664485e-06,0.00029807441155273217,0.0022072496092420124
37,55,0.5,0.5230000000000001,19,1,0,2.569083790149307e-06,3.3523247111588717e-06,0.02707263668689461,0.07712682240790514
37,73,1.0,1.009,37,1,0,4.774611511493276e-06,0.0,0.005388638879934375,0.020375450611794577
37,91,1.5,1.504,55,3,0,2.823523847491936e-06,4.764173476131189e-06,0.00024678238630577786,0.0018284687721177306
38,56,0.5,0.5229999999999997,19,1,0,2.593233830339159e-06,4.240321288762061e-06,0.025068231968883234,0.07423386662185294
38,74,1.0,1.0069999999999997,37,2,0,4.6353632114914944e-06,5.726114125081949e-07,0.004828846963449168,0.022391531640721496
38,92,1.5,1.504,55,3,0,2.6719114325494992e-06,6.4892482482971995e-06,0.00020546660502655898,0.0015273201530021652
39,57,0.5,0.5210000000000004,19,1,0,2.6257796434947522e-06,2.0864423504463048e-06,0.023222599169369782,0.0709839126749614
39,75,1.0,1.0060000000000002,37,2,0,4.549065920400608e-06,3.351329723955132e-06,0.004223235686181655,0.02242964285504101
39,93,1.5,1.5040000000000004,55,3,0,2.638774174353622e-06,7.494916395461602e-06,0.00017000251150382388,0.001262758299418465
40,58,0.5,0.5210000000000004,19,1,0,2.745264396253333e-06,2.0832092104683397e-06,0.021341460793300328,0.06718035252629306
40,76,1.0,1.0050000000000003,37,2,0,4.398455985210603e-06,6.66883302358201e-06,0.003650752381817344,0.021202711585829093
40,94,1.5,1.5030000000000001,55,3,0,2.676780138844202e-06,8.84481416233433e-06,0.00014146088720485187,0.0010541154336749514
41,59,0.5,0.52,19,1,0,2.8009760626446223e-06,1.0043850409147126e-06,0.019691102248673757,0.06347382273845881
41,77,1.0,1.0060000000000002,37,2,0,4.187354420537304e-06,9.240935952448126e-06,0.003111385949813284,0.019262661914094537
41,95,1.5,1.505,55,3,0,2.7993677311768484e-06,1.0146484747513406e-05,0.00011664886778556244,0.0008509923269457431
42,60,0.5,0.52,19,1,0,2.9476358349711518e-06,9.981261541724962e-07,0.017972294728359147,0.05926630403281763
42,78,1.0,1.0050000000000003,37,2,0,3.90517584492045e-06,1.1665382899650467e-05,0.0026335378093587576,0.017065642775481393
42,96,1.5,1.5010000000000003,55,3,0,2.917036882626115e-06,9.451351105062762e-06,9.879985897556106e-05,0.0007128222030701181
43,61,0.5,0.5189999999999997,19,1,0,3.0779699500271818e-06,8.098516843801917e-07,0.016425811379788758,0.055229428991239615
43,79,1.0,1.0029999999999997,37,2,0,3.5647709637487424e-06,1.3626161305069218e-05,0.002230223463953572,0.014937322932047081
43,98,1.5,1.5269999999999997,56,3,0,3.3736805487315156e-06,9.965221227307573e-06,6.875258510226625e-05,0.0004917795082803877
44,62,0.5,0.5179999999999998,19,0,0,3.2455432119604666e-06,6.381303876423772e-07,0.014943091789971129,0.051126032147749356
44,80,1.0,1.001,37,1,0,3.2481426615049713e-06,1.2659021393801595e-05,0.0018704884156608712,0.012847411227189909
44,99,1.5,1.524,56,2,0,3.6071701231333947e-06,8.810084831187893e-06,5.757006989526505e-05,0.000411472848242056
45,63,0.5,0.52,19,0,0,3.2727042480473756e-06,4.731600995455665e-07,2.0251175275940043e-05,1.66114042059462e-05
45,81,1.0,1.004,37,1,0,2.885264052565617e-06,1.0733648977634402e-05,4.426276223331845e-06,2.6290269437012626e-05
45,100,1.5,1.5270000000000001,56,2,0,3.7870711053907785e-06,6.969451763832712e-06,2.377941300485199e-06,1.084999800582409e-05
46,64,0.5,0.5180000000000002,19,0,0,3.078390932387265e-06,3.313643901492469e-07,1.90683190003504e-05,2.2288127894398713e-05
46,82,1.0,1.0010000000000003,37,1,0,2.4339963147212984e-06,5.936821334984188e-06,3.761881861034321e-06,2.288602152056285e-05
46,101,1.5,1.524,56,2,0,3.760406960079122e-06,4.096491078348302e-06,2.788789782240936e-06,1.7650629999366174e-05
47,65,0.5,0.5149999999999997,19,0,0,2.8161750833533006e-06,1.7645047023506777e-07,1.7464762894712407e-05,1.967880346143147e-05
47,84,1.0,1.0269999999999997,38,1,0,1.8602756881591631e-06,3.868222506753227e-06,2.659628448959763e-06,1.6342298324367732e-05
47,102,1.5,1.52,56,2,0,3.7046310904636743e-06,3.0269660564417765e-06,3.222899517826149e-06,1.8527973878690318e-05
48,66,0.5,0.5179999999999998,19,0,0,2.816452933984692e-06,1.2196818488519057e-07,1.5737772667885933e-05,2.0417315489851262e-05
48,84,1.0,1.0019999999999998,37,1,0,1.7275559685003827e-06,3.8682213858720615e-06,2.5614116990631716e-06,1.563083757361028e-05
48,103,1.5,1.5220000000000002,56,2,0,3.7936568037396036e-06,2.316066335576327e-06,3.5047470680344083e-06,1.2728801607408968e-05
49,67,0.5,0.5150000000000001,19,0,0,2.535053340579907e-06,7.952721148285491e-08,1.2299043228374976e-05,1.3536090676780077e-05
49,85,1.0,1.0020000000000002,37,1,0,1.3371609384194016e-06,2.9605828366641163e-06,1.9436788982752756e-06,1.1659911838712844e-05
49,104,1.5,1.5219999999999998,56,2,0,3.818288409724006e-06,1.7125544199693941e-06,3.662457187358585e-06,8.190636208382784e-06
50,68,0.5,0.5140000000000002,19,0,0,2.292113777002669e-06,4.164351707913738e-08,1.066661880544846e-05,9.882384574666503e-06
50,86,1.0,1.004,37,1,0,9.540665359963896e-07,2.1527045497293784e-06,1.549765063643273e-06,9.33778039691191e-06
50,105,1.5,1.5189999999999997,56,2,0,3.7885625260265666e-06,1.183658092831665e-06,3.844807725355434e-06,8.03858517883782e-06
51,69,0.5,0.5129999999999999,19,0,0,2.0422952502485714e-06,2.0642289655370405e-08,1.0500043487893985e-05,1.0822322991543842e-05
51,87,1.0,1.005,37,1,0,5.832830538565759e-07,1.49829266460344e-06,1.3318554154189138e-06,8.051425627098041e-06
51,106,1.5,1.5239999999999996,56,2,0,3.9675476792190745e-06,8.959963604783236e-07,4.2229996965304e-06,1.5406841484377765e-05
52,70,0.5,0.5090000000000003,19,0,0,1.8517954458729946e-06,9.12709197109507e-09,9.313800176012959e-06,8.72479052560493e-06
52,88,1.0,1.0030000000000001,37,2,0,2.8535562030815165e-07,1.231700274032156e-06,9.616346012755058e-07,9.409065675924921e-06
52,107,1.5,1.5170000000000003,56,2,0,4.221985799876515e-06,6.263251588895272e-07,4.475078043697722e-06,1.7337905802605746e-05
53,71,0.5,0.5110000000000001,19,0,0,1.8103295360560878e-06,6.937710850252188e-09,8.241775900630715e-06,9.568426857953227e-06
53,89,1.0,1.0060000000000002,37,2,0,1.4282917691726748e-07,2.011818959462636e-06,6.495428512679605e-07,6.999065107038405e-06
53,108,1.5,1.5180000000000002,56,2,0,4.300940623930096e-06,3.6870721523044726e-07,4.890151472514564e-06,1.718448618248658e-05
54,72,0.5,0.512,19,0,0,2.098740992551029e-06,5.727656571252737e-09,6.909589682080491e-06,8.797964841988914e-06
