start_transition_sequence,end_transition_sequence,requested_horizon_s,actual_horizon_s,step_count,action_change_count,collision_step_count,external_perturbation_step_count,perturbation_relation,planar_position_error_cm,planar_velocity_error_cm_s,yaw_error_deg,angular_velocity_yaw_error_deg_s
56,93,1.0,1.017,38,2,0,0,no_event,23.55122800623384,39.3218320243623,0.5668012426496435,0.9347957730243479
56,112,1.5,1.5130000000000003,57,2,0,0,no_event,30.494610857607032,2.6365000065165605,0.1327745104798598,0.4828168973321283
57,75,0.5,0.5009999999999999,19,0,0,0,no_event,1.619581894374278e-06,4.5904755552328425e-09,5.272185960855739e-06,3.527195087116297e-06
57,94,1.0,1.0109999999999997,38,2,0,0,no_event,24.384847843142502,34.787696968863465,0.5420591749552813,1.0309247572871811
57,113,1.5,1.5100000000000002,57,2,0,0,no_event,30.55322912681604,2.171499722886642,0.1208114255264804,0.4430794291954072
58,77,0.5,0.52,20,1,0,0,no_event,0.03941419656530343,1.5766346876104365,0.0756743678719759,3.0271399297392847
58,95,1.0,1.0060000000000002,38,2,0,0,no_event,25.178248628026406,30.641202037755463,0.5135463334580496,1.0966572542113795
58,114,1.5,1.5080000000000005,57,2,0,0,no_event,30.60422171393384,1.7590922339121662,0.10911385105136862,0.403367688695468
59,78,0.5,0.5180000000000002,20,1,0,0,no_event,0.20846555527782584,6.50196945766811,0.18997653663758246,4.396227136597982
59,96,1.0,1.0030000000000001,38,2,0,0,no_event,25.85517651169968,27.30139143533529,0.4853025019945468,1.1297563490847153
59,115,1.5,1.5040000000000004,57,2,0,0,no_event,30.63966593796101,1.4776789451399814,0.10016708307885426,0.3727826009390611
60,79,0.5,0.516,20,1,0,0,no_event,0.5433331894430466,13.952820091941646,0.3023877072308412,4.683771718350254
60,97,1.0,1.0029999999999997,38,2,0,0,no_event,26.479759878855706,24.373385326251537,0.45566907711722615,1.1397540798591876
60,116,1.5,1.5059999999999998,57,2,0,0,no_event,30.673355265238015,1.2040703791226663,0.09065895785788423,0.3395780591903801
61,80,0.5,0.5179999999999998,20,1,0,0,no_event,1.2281680654152751,25.36425479963512,0.4203366376049621,4.368464853074485
61,98,1.0,1.0030000000000001,38,2,0,0,no_event,27.017293604153842,21.98861151035778,0.4273913592961817,1.1311128167697007
61,117,1.5,1.5090000000000003,57,2,0,0,no_event,30.700774065682168,0.9800786336638628,0.08200771345736185,0.3089745626419145
62,81,0.5,0.5129999999999999,20,1,0,0,no_event,2.0754503657584564,36.838362098740376,0.5083558721605632,3.826914392769229
62,99,1.0,1.0,38,2,0,0,no_event,27.500077941246452,19.943987507148705,0.39967018266418497,1.1088496933562624
62,118,1.5,1.5050000000000003,57,2,0,0,no_event,30.72048075617,0.8218768972037882,0.07517467526882775,0.28471041280692333
63,82,0.5,0.5139999999999998,20,1,0,0,no_event,3.5432297115370375,52.42068868845557,0.5927861320442516,3.015364973682683
63,100,1.0,1.0,38,2,0,0,no_event,27.96562488768546,18.038808528127994,0.37068729728707844,1.0734433411806492
63,119,1.5,1.509,57,2,0,0,no_event,30.74071228238119,0.6532909620274648,0.06724261407521996,0.25587464781351343
64,83,0.5,0.5150000000000001,20,1,0,0,no_event,5.317163457383458,65.70124895517718,0.6527542481258433,2.2210264935187247
64,101,1.0,1.0,38,2,0,0,no_event,28.368663623874287,16.45699889852526,0.34387241463499235,1.031346710088485
64,120,1.5,1.5150000000000001,57,2,0,0,no_event,30.757162130097864,0.5146083984500776,0.05991633575631852,0.22894821015929523
65,84,0.5,0.5169999999999999,20,1,0,0,no_event,7.494621189771124,75.08474677484887,0.6941566043619816,1.4276663448679088
65,103,1.0,1.024,39,2,0,0,no_event,29.038276608023676,12.972811227390988,0.29491712565021416,0.9350326001217013
65,121,1.5,1.5559999999999996,57,2,0,0,no_event,30.77767136455554,0.3021222785218309,0.047670782912053344,0.18008312108609914
66,85,0.5,0.5170000000000003,20,1,0,0,no_event,9.635299092108085,79.28436330658846,0.7154338496702101,0.7880451985214219
66,104,1.0,1.024,39,2,0,0,no_event,29.32804927093465,11.09742610861244,0.27114766944512336,0.8803528555914966
66,121,1.5,1.529,56,2,0,0,no_event,30.77767147511088,0.3021222785218306,0.04767078345295119,0.18008312318464093
67,86,0.5,0.5190000000000001,20,1,0,0,no_event,11.86981388505717,79.80409754642939,0.7218412447350145,0.2288257166160097
67,105,1.0,1.021,39,2,0,0,no_event,29.545173809948686,9.64937351076598,0.2519841013119817,0.8332106713310168
67,121,1.5,1.5029999999999997,55,2,0,0,no_event,30.77767155091464,0.3021222785218307,0.04767079096364024,0.18008315235359262
68,87,0.5,0.5230000000000001,20,1,0,0,no_event,14.110017532633833,77.24840005649311,0.7149643241960673,0.23714065233354287
68,106,1.0,1.025,39,2,0,0,no_event,29.775189106323133,8.025437817525344,0.22953590038350918,0.7740803750455569
68,123,1.5,1.5810000000000004,56,3,0,0,no_event,30.795195823626937,0.14960076217033824,34.7692136534464,369.065675173252
